Agency_Name,State_Name,District_Name,Tahsil_Name,Station_Name,Latitude,Longitude,Station_Type,Station_Status
Andhra Pradesh GW,ANDHRA PRADESH,KURNOOL,KURNOOL,KURNOOL -AWS,15.75064,78.0668,SURFACE,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,KRISHNA,VUYYURU,GANDIGUNTA -AWS,16.3814,80.85303,SURFACE,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,H.M.PADU,VATICHERLA,15.461,79.3716,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KANIGIRI,GURVAJIPETA,15.2347,79.4,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KOMAROLE,ALLINAGARAM,15.6483,79.1086,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,KONAKANAMITLA,15.6467,79.4949,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,PADARTHI (MOTHUMALA),15.481,80.1868,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,MARKAPURAM,GAJJALAKONDA,15.7423,79.3956,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,N.G.PADU,NIDAMANURU,15.652,80.069,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,ONGOLE,YERAJERLA,15.4529,80.0075,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,P.C.PALLI,POTHAVARAM,15.3069,79.6264,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,PEDAGANJAM,15.6431,80.2176,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PEDDARAVEEDU,THOKAPALLI,15.8806,79.295,GROUND,INSTALLED
Andhra Pradesh GW,ANDHRA PRADESH,PRAKASAM,PAMURU,EAST KODIGUDLAPADU,15.0617,79.3859,GROUND,INSTALLED
